id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
525063,Android Respond To URL in Intent,<p>I want my intent to be launched when the user goes to a certain url: for example the android market does this with <a href= http://market.android.com/ >http://market.android.com/</a> urls. so does youtube. I want mine to do that too.</p>,525086,1,2,,2/8/2009 2:55:57,65,4/10/2016 3:28:10,8/15/2015 10:24:13,,1529129,Isaac Waller,764272,,1,132,android|url|android-intent|intentfilter|launch,91060
14128723,Eclipse -- Progress windows don't show up any more,<p>I used to see both Building and Cleaning actions in their own separate windows where I could wait for them to complete before continuing. Several weeks ago I must have clicked Run in Background  because now the progress only appears in a small obscured Progress view.</p> <p><img src= http://i.stack.imgur.com/Ik1x8.gif alt= Not so nice. ></p> <p>How do I set the progress of things like Java Build and Clean to appear in a popup dialog again?</p> <p><img src= http://i.stack.imgur.com/PtQsk.gif alt= Nice. ></p>,14128762,1,0,,1/2/2013 20:31:54,4,1/2/2013 20:34:55,,,,user1499731,,,1,13,java|eclipse,4272
20728,What's the best way to create ClickOnce deployments,<p>Our team develops distributed winform apps. We use ClickOnce for deployment and are very pleased with it.</p> <p>However we've found the pain point with ClickOnce is in <em>creating</em> the deployments. We have the standard dev/test/production environments and need to be able to create deployments for each of these that install and update separate from one another. Also we want control over what assemblies get deployed. Just because an assembly was compiled doesn't mean we want it deployed.</p> <p>The obvious first choice for creating deployments is Visual Studio. However VS really doesn't address the issues stated. The next in line is the SDK tool Mage. Mage works OK but creating deployments is rather tedious and we don't want every developer having our code signing certificate and password.</p> <p>What we ended up doing was rolling our own deployment app that uses the command line version of Mage to create the ClickOnce manifest files.</p> <p>I'm satisfied with our current solution but is seems like there would be an industry-wide accepted approach to this problem. Is there?</p>,20806,2,0,,8/21/2008 18:35:04,5,11/30/2015 2:03:49,11/30/2015 2:03:49,,1321,whatknott,1321,,1,13,winforms|deployment|clickonce,2534
6531409,iOS: how to get image dimensions without opening it,<p>In an iOS app I need to provide image filters based on their size (width/height) think of something similar to Large Medium Small in Google images search. Opening each image and reading its dimensions when creating the list would be very performance intensive. Is there a way to get this info without opening the image itself?</p> <p>Damien DeVille answered the question below based on his suggestion I am now using the following code:</p> <pre><code>NSURL *imageURL = [NSURL fileURLWithPath:imagePath]; if (imageURL == nil) return; CGImageSourceRef imageSourceRef = CGImageSourceCreateWithURL((CFURLRef)imageURL NULL); if(imageSourceRef == NULL) return; CFDictionaryRef props = CGImageSourceCopyPropertiesAtIndex(imageSourceRef 0 NULL); CFRelease(imageSourceRef); NSLog(@ %@  (NSDictionary *)props); CFRelease(props); </code></pre>,8731972,2,2,,6/30/2011 7:33:39,4,4/22/2014 17:16:44,1/24/2012 7:37:04,user83950,,user83950,,,1,7,ios4|uikit,2837
593205,action delegate with zero parameters,<p>I see this line in many online examples of using the Action delegate:</p> <pre><code>public event Action MyEvent; </code></pre> <p>But when I try it in my own code I get this error</p> <blockquote> <p>Using the generic type 'System.Action' requires '1' type arguments</p> </blockquote> <p>The documentation certainly describes a form of Action without any type parameter. What am I missing?</p>,593223,2,3,,2/27/2009 1:30:28,6,1/12/2012 1:44:40,1/12/2012 1:44:40,,8677,I. J. Kennedy,8677,,1,21,c#|delegates|action,12377
377901,JAX-WS authentication against a database,<p>I'm implementing a JAX-WS webservice that will be consumed by external Java and PHP clients.</p> <p>The clients have to authenticate with a username and password stored in a database per client.</p> <p>What authentication mechanism is best to use to make sure that misc clients can use it?</p>,459330,3,0,,12/18/2008 13:51:40,6,1/31/2012 9:05:55,9/23/2011 11:31:02,,157762,Gunnar Steinn,33468,,1,4,java|web-services|security,7568
638886,Java Applet z-index on Safari and beyond,<p>A well known problem with Java Applets in webpages is that browsers ignore the z-index of the applet tag vs. other components in the page. No matter how you position and z-index elements in the page applets will draw themselves on top of everything.</p> <p>There is a workaround known as the iframe shim as described here: <a href= http://www.oratransplant.nl/2007/10/26/using-iframe-shim-to-partly-cover-a-java-applet/ rel= nofollow >http://www.oratransplant.nl/2007/10/26/using-iframe-shim-to-partly-cover-a-java-applet/</a>.</p> <p>However this workaround does not work in Safari 3 or 4 in Windows (assuming the same for Mac).</p> <p>Does anyone know a way to make it work in Safari? </p> <p>Does anyone have ideas about how to pressure Sun to fix the underlying problem so we can avoid clumsy shims? Here is a bug report on the issue <a href= http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6646289 rel= nofollow >http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6646289</a> notice that it has been open for a year however other bug reports go back many many years.</p> <p>This is so frustrating don't Sun understand that this is the very sort of thing that has marginalized Java as a way of doing cool stuff in the browser? I love you Java but you are not helping your situation...</p>,1393541,3,0,,3/12/2009 14:34:14,4,11/15/2013 5:25:10,11/15/2013 4:47:58,,114029,jwlrs,77244,,1,6,java|html|applet|overlay|z-index,12116
235982,How Code Color is Set in StackOverflow?,<p>The most favorite feature of StackOverflow for me is that it can automatically detect code in post and set appropriate color to the code.</p> <p>I'm wondering how the color is set. When I do a <kbd>Ctrl</kbd>+<kbd>F5</kbd> on a page the code seems first be black text then change to be colorful. Is it done by jQuery?</p>,236062,3,0,,10/25/2008 6:03:40,10,2/22/2014 22:42:37,2/22/2014 22:42:37,,2581872,Morgan Cheng,26349,,1,12,javascript|syntax-highlighting,1284
687884,What is the correct way of using the Guid type in a XSD file?,<p>I have a .xsd file which I use to generate code with the xsd.exe tool from Visual Studio. Some class members are Guids and the xsd.exe tool gives 2 warnings:</p> <p>Namespace '<a href= http://microsoft.com/wsdl/types/ >http://microsoft.com/wsdl/types/</a>' is not available to be referenced in this schema. Type '<a href= http://microsoft.com/wsdl/types/:guid >http://microsoft.com/wsdl/types/:guid</a>' is not declared.</p> <p>The Guid type is recognized because the generated C# file is valid and works. Anyone knows how to get rid of those warnings?</p> <p>What is the correct syntax for the XSD to be validated AND class members being generated as System.Guid?</p>,723045,3,0,,3/26/2009 23:02:47,5,3/17/2014 16:40:07,3/27/2009 17:32:31,Kovey,46832,Kovey,46832,,1,17,xsd|guid|xsd.exe,20808
373234,How can I grab my local changelist and send it to someone else in Perforce?,<p>How can I grab my local changelist and send it to someone else in Perforce? More specifically I would like to send unsubmitted changes from a local pending changelist to another user's pending changelist.</p>,373434,3,1,,12/17/2008 0:04:08,4,10/19/2015 23:35:57,10/19/2015 23:35:57,,46869,WJ B,46869,,1,13,perforce,5995
